Epoch,Finetuning loss,Finetuning accuracy,Finetuning F1 score,Finetuning precision
0,0.7419363796710968,0.6320000290870667,0.6290322542190552,0.795918345451355
1,0.9426879405975341,0.6079999804496765,0.6016260385513306,0.7708333134651184
2,0.7145322084426879,0.6639999747276306,0.6499999761581421,0.8666666746139526
3,0.643510365486145,0.671999990940094,0.6554621458053589,0.8863636255264282
4,0.560990983247757,0.7440000176429749,0.7460317015647888,0.9215686321258545
5,0.7330727994441986,0.6880000233650208,0.6666666269302368,0.9285714030265808
6,0.6644731044769288,0.6959999799728394,0.6935483813285828,0.8775510191917419
7,0.5510947406291962,0.7440000176429749,0.7460317015647888,0.9215686321258545
8,0.4743932604789734,0.7279999852180481,0.7258065342903137,0.918367326259613
9,0.5096354603767395,0.6959999799728394,0.6885245442390442,0.8936170339584351
10,0.45987972617149353,0.800000011920929,0.8091602921485901,0.9464285969734192
11,0.4793553173542023,0.7760000228881836,0.7941176891326904,0.8852459192276001
12,0.6043287873268127,0.7120000123977661,0.7096774578094482,0.8979591727256775
13,0.4520603895187378,0.8159999847412109,0.8270677328109741,0.9482758641242981
14,0.5681598961353302,0.6880000233650208,0.6929133534431458,0.8461538553237915
15,0.4068424224853516,0.8320000171661377,0.839694619178772,0.9821428656578064
16,0.43462892174720763,0.7839999794960022,0.7874016165733337,0.9615384340286255
17,0.3498175799846649,0.8159999847412109,0.8244274854660034,0.9642857313156128
18,0.34387225210666655,0.8240000009536743,0.8382352590560913,0.9344262480735779
19,0.5382784903049469,0.7200000286102295,0.732824444770813,0.8571428656578064
