Epoch,Training loss,Validation loss
0,0.1821309985084967,0.2772544539637036
1,0.1735558177937161,0.252766877412796
2,0.17885008183392612,0.25922489497396684
3,0.1943282105705955,0.2586483144097858
4,0.19942148436199536,0.24924325280719334
5,0.20123083686286752,0.2623111522859997
6,0.2057431468909437,0.2555921773115794
7,0.20679796419360422,0.2530839575661553
8,0.20483624664219943,0.26594115959273446
9,0.20288740301674063,0.24276992347505358
10,0.19833992150696841,0.25308577550782096
11,0.19595813954418356,0.23013407985369363
12,0.19356673143126749,0.24556945926613277
13,0.19046890193765814,0.25276214877764386
14,0.18720512295311148,0.2551228337817722
15,0.18219054964455692,0.25164250698354507
16,0.18067855320193552,0.2488216741217507
17,0.18061584369702774,0.23455296291245353
18,0.17887120761654593,0.26343803770012325
19,0.17610050602392716,0.23833243217733172
20,0.17886650291356174,0.26732783516248065
21,0.17366217347708615,0.246789973643091
22,0.17343157733028586,0.2463318622774548
23,0.17120333286848935,0.24837509625487858
24,0.16967422515153885,0.2534135596619712
25,0.167883270166137,0.24846299323770735
26,0.17163273082538086,0.2212747616900338
27,0.16565102609721097,0.236807182431221
28,0.16624991392547434,0.24768313765525818
29,0.166351049461148,0.22691041396723854
30,0.16191452741622925,0.2379051430357827
31,0.16287994384765625,0.2171168608797921
32,0.1601330665024844,0.25061581366591984
33,0.16385235501961273,0.24658712413575914
34,0.15900454534725708,0.23899654216236538
35,0.1577960422093218,0.18926787541972268
36,0.15664100511507553,0.23046366373697916
37,0.15401650897481226,0.23373630311754015
38,0.15492367405783047,0.22507812082767487
39,0.1548487964001569,0.24180406994289821
40,0.15471370450475,0.2178158462047577
41,0.15347307988188483,0.22077802154752943
42,0.15372007678855548,0.2359759426779217
43,0.15377147698944266,0.23330945604377323
44,0.15329336374998093,0.2400195085340076
45,0.15238089046695016,0.21195511519908905
46,0.15226409313353625,0.21146796643733978
47,0.15415281463753094,0.22590110864904192
48,0.1536306535655802,0.20857267578442892
49,0.15418127450076016,0.22405796084139082
50,0.15393498743122275,0.22014774713251326
51,0.1529986926100471,0.21140402224328783
52,0.15431183034723456,0.22620991865793863
53,0.1520624499429356,0.23095494674311745
54,0.1535090905698863,0.21671778129206765
55,0.1531116799874739,0.24739339782132042
56,0.1511045301502401,0.1999960806634691
57,0.15441402251070196,0.21641399959723154
58,0.1523885571143844,0.22225347492429945
59,0.15343772213567386,0.23315155671702492
60,0.1512620679356835,0.2407339248392317
61,0.1527286327698014,0.20621533195177713
62,0.15141332352703268,0.23497125340832603
63,0.15284056216478348,0.23351701928509605
64,0.15244134176861157,0.2066157509883245
65,0.15232924642887982,0.2267323202557034
66,0.15315931358120657,0.21989316410488552
67,0.15126187083396045,0.21829542186525133
68,0.1520318172194741,0.2207671453555425
69,0.15113725851882587,0.20904831919405195
70,0.15377343581481415,0.18633354703585306
71,0.15195618298920718,0.23334840767913395
72,0.15346033464778552,0.2120799140797721
73,0.15192966840483926,0.1992767337295744
74,0.15148874981836838,0.2218918717569775
75,0.15108161080967297,0.1984553121858173
76,0.15541111610152505,0.22379788094096714
77,0.15161211653189224,0.1907746543486913
78,0.15136718140407043,0.232225947909885
79,0.15140389515595,0.22260426150427925
80,0.1513807705857537,0.20773385134008196
81,0.15213951739397916,0.1955525345272488
82,0.15471410277214917,0.18547241886456808
83,0.15102055668830872,0.2299058867825402
84,0.15149611099199814,0.21983233756489223
85,0.1521862122145566,0.20954080588287777
86,0.14884219047698108,0.22550319466325972
87,0.1521897024729035,0.20676590005556741
88,0.15027369152415881,0.19842618703842163
89,0.15072339908643204,0.21767348713344997
90,0.15328428216955878,0.21181013186772665
91,0.151236719367179,0.22317197587754992
92,0.15175401961261575,0.1960072335269716
93,0.15078760073943573,0.22533658146858215
94,0.15048115768215872,0.23636287616358864
95,0.1489931121468544,0.22268755733966827
96,0.15027824586088007,0.20786231590641868
97,0.1507896692915396,0.24715338978502485
98,0.15085855532776227,0.18719352781772614
99,0.14995701746507126,0.22096859249803755
100,0.14976506002924658,0.22301928202311197
101,0.1505017720840194,0.23169689708285862
102,0.15206345103003763,0.18968507813082802
103,0.1491985327818177,0.2249158802959654
104,0.1504000730135224,0.21872219940026602
105,0.15125257792797955,0.22364020513163674
106,0.14974299208684402,0.23417997856934866
107,0.15056472949006341,0.1632507410314348
108,0.14897167953577908,0.17962252762582567
109,0.14854254099455746,0.20759937167167664
110,0.14871968667615543,0.21636930935912663
111,0.1483531899072907,0.23345106343428293
112,0.1497854244979945,0.21162954635090298
113,0.14969790523702448,0.18888893557919395
114,0.1486485315994783,0.21258538133568233
115,0.14811274273829025,0.18607755998770395
116,0.15109339627352628,0.2146989471382565
117,0.14971474354917352,0.2090161856677797
118,0.1479871483011679,0.21983617709742653
119,0.1494552046060562,0.17505310806963179
120,0.15048856017264453,0.2264733976787991
121,0.15060909972949463,0.21866422560479906
122,0.14929377084428613,0.16866090893745422
123,0.14953712509437042,0.2271617187394036
124,0.1492626667022705,0.19898807836903465
125,0.14719132333993912,0.23866011367903817
126,0.14857405559583145,0.23049116796917385
127,0.1486265625466,0.23660686280992296
128,0.1480039046569304,0.22623732520474327
129,0.14936305447058243,0.20110835300551522
130,0.14983520047231155,0.21661704116397434
131,0.14743491465395148,0.22151641050974527
132,0.14761586555025794,0.2122748527261946
133,0.14752216908064755,0.2184203846587075
134,0.1483847973021594,0.2088034583462609
135,0.14778069948608225,0.22963126334879133
136,0.15048486129804092,0.20396593544218275
137,0.14599402722987262,0.23195973369810316
138,0.14764671975916083,0.20350469648838043
139,0.1484670422293923,0.2059803091817432
140,0.1485414965586229,0.1957545263899697
141,0.14597458189184015,0.20700755218664804
142,0.14759861339222302,0.221676058239407
143,0.14615947143598038,0.2105349236064487
144,0.1472127904946154,0.22434019214577144
145,0.146657102487304,0.1962205171585083
146,0.1482726362618533,0.21962518824471366
147,0.14807394485582004,0.22438539730177987
148,0.14762798967686566,0.19157375395298004
149,0.14725157008929687,0.21478425628609127
