Epoch,Training loss,Validation loss,Training accuracy,Validation accuracy,Training F1 score,Validation F1 score,Training precision,Validation precision
1,0.5136321025590102,1.8399105204476252,0.7895833253860474,0.3305555582046509,0.739242672920227,0.4968684911727905,0.6083569526672363,0.6083569526672363
3,0.43177177011966705,1.6349445713890924,0.8489583134651184,0.3430555462837219,0.7994467616081238,0.5101829767227173,0.6994755864143372,0.6994755864143372
6,0.43381595487395924,1.9520122475094266,0.8496527671813965,0.33703702688217163,0.7869095206260681,0.5041550993919373,0.6931079030036926,0.6931079030036926
9,0.3730415763954322,1.2299619913101196,0.8826388716697693,0.3185185194015503,0.8392007946968079,0.46589258313179016,0.774023711681366,0.774023711681366
12,0.35766522710522014,0.7398908403184679,0.8822916746139526,0.5069444179534912,0.8362318873405457,0.6131492853164673,0.7707034945487976,0.7707034945487976
14,0.36718736961483955,1.0340812934769525,0.8803819417953491,0.3601851761341095,0.8283935189247131,0.47452470660209656,0.7604023814201355,0.7604023814201355
15,0.3476589334507783,0.5547162989775339,0.8880208134651184,0.6953703761100769,0.8446158170700073,0.7114035487174988,0.7860986590385437,0.7860986590385437
16,0.35613492503762245,0.7940008242925009,0.8871527910232544,0.4930555522441864,0.8308173418045044,0.5666798949241638,0.7614504098892212,0.7614504098892212
18,0.359409640232722,0.48976121015018886,0.886805534362793,0.7814815044403076,0.819889485836029,0.7467811703681946,0.7328395247459412,0.7328395247459412
20,0.3465306895474593,0.6297938757472568,0.8904513716697693,0.6449074149131775,0.8283926844596863,0.6540369987487793,0.7599800229072571,0.7599800229072571
21,0.33540231361985207,0.40549395812882316,0.8911458253860474,0.8509259223937988,0.8402547836303711,0.8031784892082214,0.793551504611969,0.793551504611969
22,0.33465410272280377,0.7888372672928704,0.8932291865348816,0.5162037014961243,0.8429118990898132,0.5316001772880554,0.7816200852394104,0.7816200852394104
23,0.33333663766582805,0.59688886668947,0.8904513716697693,0.6745370626449585,0.8371613025665283,0.6528394818305969,0.7783109545707703,0.7783109545707703
24,0.32457035779953003,0.3859434723854065,0.8963541388511658,0.8634259104728699,0.8425217866897583,0.8034643530845642,0.7832270860671997,0.7832270860671997
25,0.3281235235432784,0.610306915309694,0.8914930820465088,0.6310185194015503,0.8309440016746521,0.6206568479537964,0.7710843086242676,0.7710843086242676
26,0.3077349066734314,0.48894625571038985,0.8951388597488403,0.7699074149131775,0.8470112085342407,0.7371761202812195,0.800000011920929,0.800000011920929
