Epoch,Training loss,Validation loss,Training accuracy,Validation accuracy,Training F1 score,Validation F1 score,Training precision,Validation precision
0,0.5734630243645774,0.49806844123772215,0.7342013716697693,0.8482142686843872,0.7249865531921387,0.8270600438117981,0.5881667137145996,0.5881667137145996
1,0.497166036731667,0.45836577883788515,0.8309027552604675,0.8651785850524902,0.8073576092720032,0.8425443172454834,0.6954003572463989,0.6954003572463989
2,0.460544825428062,0.4338384973151343,0.8675346970558167,0.8758928775787354,0.8536351323127747,0.8405963778495789,0.7648676633834839,0.7648676633834839
3,0.44879628386762405,0.417835744363921,0.8701388835906982,0.8919642567634583,0.8512922525405884,0.8748707175254822,0.7602983117103577,0.7602983117103577
4,0.43564464151859283,0.41648338735103607,0.8815972208976746,0.8955357074737549,0.866222083568573,0.8694195747375488,0.7840909361839294,0.7840909361839294
5,0.4266044489211506,0.39748231002262663,0.8901041746139526,0.8897321224212646,0.878011167049408,0.8677021861076355,0.8058012127876282,0.8058012127876282
6,0.43851238903072143,0.41032936743327547,0.8725694417953491,0.8910714387893677,0.8481588959693909,0.8686760067939758,0.7609502673149109,0.7609502673149109
7,0.42036013470755684,0.39026001521519255,0.8831596970558167,0.8950892686843872,0.8632947206497192,0.8674562573432922,0.7775338292121887,0.7775338292121887
8,0.42791496051682365,0.36981033214500975,0.8753471970558167,0.9116071462631226,0.8490962386131287,0.8983573317527771,0.7576894164085388,0.7576894164085388
9,0.4159035442603959,0.3897366204432079,0.8840277791023254,0.8928571343421936,0.8604845404624939,0.8746081590652466,0.7820804715156555,0.7820804715156555
10,0.40928108990192413,0.35719116244997295,0.8864583373069763,0.9156249761581421,0.8628930449485779,0.8947075605392456,0.786697268486023,0.786697268486023
11,0.39847881015804076,0.37148756853171755,0.8923611044883728,0.9107142686843872,0.8743922114372253,0.9004974961280823,0.8073325753211975,0.8073325753211975
12,0.39256520403756034,0.34162585863045286,0.8921874761581421,0.9236606955528259,0.8748236894607544,0.9048413634300232,0.80400151014328,0.80400151014328
13,0.3866957285337978,0.36354739538260866,0.8967013955116272,0.8933035731315613,0.8796277642250061,0.8691844940185547,0.8172932267189026,0.8172932267189026
14,0.3872043862938881,0.3553312505994524,0.8928819298744202,0.8999999761581421,0.8740044832229614,0.8787878751754761,0.8130698800086975,0.8130698800086975
15,0.37668852094146943,0.3472211935690471,0.8921874761581421,0.9129464030265808,0.875973641872406,0.8722986578941345,0.8179783821105957,0.8179783821105957
16,0.37128984265857273,0.3459917370762144,0.9012152552604675,0.9053571224212646,0.8828494548797607,0.8828729391098022,0.8277992010116577,0.8277992010116577
17,0.37801658279365963,0.3629723297698157,0.8960069417953491,0.8977678418159485,0.8749738931655884,0.8670922517776489,0.8083301186561584,0.8083301186561584
18,0.36842072589529884,0.3515209470476423,0.8979166746139526,0.8959821462631226,0.8813559412956238,0.864456057548523,0.8225988745689392,0.8225988745689392
19,0.36192091140482163,0.34293014875480105,0.8991319537162781,0.8959821462631226,0.8825075626373291,0.8595539331436157,0.8290273547172546,0.8290273547172546
20,0.362924687564373,0.30895995029381346,0.9036458134651184,0.9169642925262451,0.8849263787269592,0.8958566784858704,0.8335937261581421,0.8335937261581421
21,0.3524486157629225,0.335989705153874,0.9032986164093018,0.9013392925262451,0.8902462720870972,0.8812466263771057,0.838841438293457,0.838841438293457
22,0.36190221707026166,0.3045132713658469,0.8930555582046509,0.9214285612106323,0.8708053231239319,0.9016759991645813,0.8189349174499512,0.8189349174499512
23,0.3557245549228456,0.32245334131377085,0.8998264074325562,0.9191964268684387,0.8794652223587036,0.9053841829299927,0.8235524296760559,0.8235524296760559
24,0.35626989271905685,0.3186662175825664,0.894444465637207,0.9191964268684387,0.8739112615585327,0.9001654982566833,0.8256269693374634,0.8256269693374634
25,0.3503340615166558,0.3356997477156775,0.9019097089767456,0.9071428775787354,0.8849989771842957,0.8887700438499451,0.8364755511283875,0.8364755511283875
26,0.3514525079064899,0.31609189084597994,0.8979166746139526,0.9071428775787354,0.8780588507652283,0.8843158483505249,0.8250194787979126,0.8250194787979126
27,0.35360075864526963,0.3313052462679999,0.8960069417953491,0.8968750238418579,0.8698108792304993,0.8637168407440186,0.8120941519737244,0.8120941519737244
28,0.34699303574032253,0.3258588228906904,0.8930555582046509,0.8901785612106323,0.8722521662712097,0.8525180220603943,0.8282788395881653,0.8282788395881653
29,0.34605632225672406,0.3172076429639544,0.901562511920929,0.9156249761581421,0.8777226805686951,0.8863499760627747,0.8215583562850952,0.8215583562850952
30,0.34570378065109253,0.3111423615898405,0.8925347328186035,0.9111607074737549,0.8661043047904968,0.8891364932060242,0.8235294222831726,0.8235294222831726
31,0.3392011465297805,0.3043510339089802,0.8982638716697693,0.9165178537368774,0.8804081678390503,0.8915941715240479,0.850216805934906,0.850216805934906
32,0.3394063686331113,0.2976702153682709,0.8999999761581421,0.9142857193946838,0.8741258978843689,0.892497181892395,0.8267879486083984,0.8267879486083984
33,0.3341914034552044,0.31595223929200855,0.9036458134651184,0.9008928537368774,0.884830892086029,0.8678571581840515,0.8470401167869568,0.8470401167869568
34,0.33363452636533314,0.3248859941959381,0.8987846970558167,0.8955357074737549,0.8814318180084229,0.8674971461296082,0.8458235859870911,0.8458235859870911
35,0.33942631549305385,0.31901579243796213,0.8939236402511597,0.9004464149475098,0.8635855913162231,0.8795245885848999,0.8119227290153503,0.8119227290153503
36,0.3272113791770405,0.38813623998846325,0.9029513597488403,0.8508928418159485,0.8831765651702881,0.8253138661384583,0.8479133248329163,0.8479133248329163
37,0.33407098717159694,0.30855062178203035,0.894444465637207,0.9120535850524902,0.8699743151664734,0.8892635703086853,0.8275020122528076,0.8275020122528076
38,0.33529815822839737,0.2886574481214796,0.9010416865348816,0.9138392806053162,0.8759251236915588,0.8905274868011475,0.82969069480896,0.82969069480896
39,0.3198784424198998,0.31735068559646606,0.9069444537162781,0.9058035612106323,0.8840830326080322,0.8828428983688354,0.8421919941902161,0.8421919941902161
40,0.32049986388948226,0.3003273436001369,0.902256965637207,0.9178571701049805,0.8811483979225159,0.8880778551101685,0.8395012021064758,0.8395012021064758
41,0.3206636268231604,0.2828206196427345,0.9010416865348816,0.9209821224212646,0.8784648776054382,0.9083376526832581,0.8394458293914795,0.8394458293914795
